evidence_id,phase,analysis_nature,dataset_code,dataset_display_name,dataset_role,modality,endpoint,horizon_days,model_or_comparison,metric,point_estimate,ci_lower_95,ci_upper_95,parent_n,evaluated_n,events,coverage,source_file,source_row,ci_source_file,ci_source_row,claim_status,allowed_claim_zh,allowed_claim_en,limitation_zh,limitation_en,planned_location,planned_figure_or_table
P4-GATE-R025-AUC-HORIZON,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-90; seed=17; partition=calibration; profile=90,auc_horizon,0.5715714933894758,,,,94.0,38.0,0.9038461538461539,results/metrics/phase4/gate_metrics.csv,25,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-90的24个月AUC为0.5715714933894758，覆盖率为0.9038461538461539。,"B7-90 had 24-month AUC 0.5715714933894758 in TCGA-HNSC, with coverage 0.9038461538461539.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R025-CALIBRATION-IN-THE-LARGE,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-90; seed=17; partition=calibration; profile=90,calibration_in_the_large,-0.06796797382981196,,,,94.0,38.0,0.9038461538461539,results/metrics/phase4/gate_metrics.csv,25,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-90的整体校准偏差为-0.06796797382981196，覆盖率为0.9038461538461539。,"B7-90 had calibration-in-the-large -0.06796797382981196 in TCGA-HNSC, with coverage 0.9038461538461539.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R025-CALIBRATION-SLOPE,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-90; seed=17; partition=calibration; profile=90,calibration_slope,0.373368394242114,,,,94.0,38.0,0.9038461538461539,results/metrics/phase4/gate_metrics.csv,25,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-90的校准斜率为0.373368394242114，覆盖率为0.9038461538461539。,"B7-90 had calibration slope 0.373368394242114 in TCGA-HNSC, with coverage 0.9038461538461539.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R025-OBSERVED-COVERAGE,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-90; seed=17; partition=calibration; profile=90,observed_coverage,0.9038461538461539,,,,94.0,38.0,0.9038461538461539,results/metrics/phase4/gate_metrics.csv,25,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-90的观察覆盖率为0.9038461538461539，覆盖率为0.9038461538461539。,"B7-90 had observed coverage 0.9038461538461539 in TCGA-HNSC, with coverage 0.9038461538461539.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R026-IPCW-BRIER,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-80; seed=29; partition=oof; profile=80,ipcw_brier,0.21691595949270112,,,,298.0,120.0,0.7180722891566265,results/metrics/phase4/gate_metrics.csv,26,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-80的IPCW Brier评分为0.21691595949270112，覆盖率为0.7180722891566265。,"B7-80 had IPCW Brier score 0.21691595949270112 in TCGA-HNSC, with coverage 0.7180722891566265.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R026-HARRELL-C,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-80; seed=29; partition=oof; profile=80,harrell_c,0.5574373410824555,,,,298.0,120.0,0.7180722891566265,results/metrics/phase4/gate_metrics.csv,26,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-80的Harrell C指数为0.5574373410824555，覆盖率为0.7180722891566265。,"B7-80 had Harrell C index 0.5574373410824555 in TCGA-HNSC, with coverage 0.7180722891566265.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R026-UNO-C,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-80; seed=29; partition=oof; profile=80,uno_c,0.5556684812811241,,,,298.0,120.0,0.7180722891566265,results/metrics/phase4/gate_metrics.csv,26,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-80的Uno C指数为0.5556684812811241，覆盖率为0.7180722891566265。,"B7-80 had Uno C index 0.5556684812811241 in TCGA-HNSC, with coverage 0.7180722891566265.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R026-AUC-HORIZON,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-80; seed=29; partition=oof; profile=80,auc_horizon,0.5641695260463427,,,,298.0,120.0,0.7180722891566265,results/metrics/phase4/gate_metrics.csv,26,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-80的24个月AUC为0.5641695260463427，覆盖率为0.7180722891566265。,"B7-80 had 24-month AUC 0.5641695260463427 in TCGA-HNSC, with coverage 0.7180722891566265.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R026-CALIBRATION-IN-THE-LARGE,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-80; seed=29; partition=oof; profile=80,calibration_in_the_large,0.07134350862468188,,,,298.0,120.0,0.7180722891566265,results/metrics/phase4/gate_metrics.csv,26,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-80的整体校准偏差为0.07134350862468188，覆盖率为0.7180722891566265。,"B7-80 had calibration-in-the-large 0.07134350862468188 in TCGA-HNSC, with coverage 0.7180722891566265.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R026-CALIBRATION-SLOPE,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-80; seed=29; partition=oof; profile=80,calibration_slope,0.39854577197376373,,,,298.0,120.0,0.7180722891566265,results/metrics/phase4/gate_metrics.csv,26,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-80的校准斜率为0.39854577197376373，覆盖率为0.7180722891566265。,"B7-80 had calibration slope 0.39854577197376373 in TCGA-HNSC, with coverage 0.7180722891566265.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R026-OBSERVED-COVERAGE,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-80; seed=29; partition=oof; profile=80,observed_coverage,0.7180722891566265,,,,298.0,120.0,0.7180722891566265,results/metrics/phase4/gate_metrics.csv,26,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-80的观察覆盖率为0.7180722891566265，覆盖率为0.7180722891566265。,"B7-80 had observed coverage 0.7180722891566265 in TCGA-HNSC, with coverage 0.7180722891566265.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R027-IPCW-BRIER,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-90; seed=29; partition=oof; profile=90,ipcw_brier,0.21767802988254012,,,,328.0,135.0,0.7903614457831325,results/metrics/phase4/gate_metrics.csv,27,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-90的IPCW Brier评分为0.21767802988254012，覆盖率为0.7903614457831325。,"B7-90 had IPCW Brier score 0.21767802988254012 in TCGA-HNSC, with coverage 0.7903614457831325.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R027-HARRELL-C,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-90; seed=29; partition=oof; profile=90,harrell_c,0.5814026646928201,,,,328.0,135.0,0.7903614457831325,results/metrics/phase4/gate_metrics.csv,27,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-90的Harrell C指数为0.5814026646928201，覆盖率为0.7903614457831325。,"B7-90 had Harrell C index 0.5814026646928201 in TCGA-HNSC, with coverage 0.7903614457831325.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R027-UNO-C,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-90; seed=29; partition=oof; profile=90,uno_c,0.5831570237048033,,,,328.0,135.0,0.7903614457831325,results/metrics/phase4/gate_metrics.csv,27,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-90的Uno C指数为0.5831570237048033，覆盖率为0.7903614457831325。,"B7-90 had Uno C index 0.5831570237048033 in TCGA-HNSC, with coverage 0.7903614457831325.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R027-AUC-HORIZON,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-90; seed=29; partition=oof; profile=90,auc_horizon,0.5978802578820857,,,,328.0,135.0,0.7903614457831325,results/metrics/phase4/gate_metrics.csv,27,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-90的24个月AUC为0.5978802578820857，覆盖率为0.7903614457831325。,"B7-90 had 24-month AUC 0.5978802578820857 in TCGA-HNSC, with coverage 0.7903614457831325.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R027-CALIBRATION-IN-THE-LARGE,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-90; seed=29; partition=oof; profile=90,calibration_in_the_large,-0.03955641495570945,,,,328.0,135.0,0.7903614457831325,results/metrics/phase4/gate_metrics.csv,27,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-90的整体校准偏差为-0.03955641495570945，覆盖率为0.7903614457831325。,"B7-90 had calibration-in-the-large -0.03955641495570945 in TCGA-HNSC, with coverage 0.7903614457831325.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R027-CALIBRATION-SLOPE,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-90; seed=29; partition=oof; profile=90,calibration_slope,0.48241089721896346,,,,328.0,135.0,0.7903614457831325,results/metrics/phase4/gate_metrics.csv,27,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-90的校准斜率为0.48241089721896346，覆盖率为0.7903614457831325。,"B7-90 had calibration slope 0.48241089721896346 in TCGA-HNSC, with coverage 0.7903614457831325.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R027-OBSERVED-COVERAGE,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-90; seed=29; partition=oof; profile=90,observed_coverage,0.7903614457831325,,,,328.0,135.0,0.7903614457831325,results/metrics/phase4/gate_metrics.csv,27,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-90的观察覆盖率为0.7903614457831325，覆盖率为0.7903614457831325。,"B7-90 had observed coverage 0.7903614457831325 in TCGA-HNSC, with coverage 0.7903614457831325.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R028-IPCW-BRIER,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-80; seed=29; partition=calibration; profile=80,ipcw_brier,0.22246795038287348,,,,84.0,35.0,0.8076923076923077,results/metrics/phase4/gate_metrics.csv,28,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-80的IPCW Brier评分为0.22246795038287348，覆盖率为0.8076923076923077。,"B7-80 had IPCW Brier score 0.22246795038287348 in TCGA-HNSC, with coverage 0.8076923076923077.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R028-HARRELL-C,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-80; seed=29; partition=calibration; profile=80,harrell_c,0.607360265633647,,,,84.0,35.0,0.8076923076923077,results/metrics/phase4/gate_metrics.csv,28,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-80的Harrell C指数为0.607360265633647，覆盖率为0.8076923076923077。,"B7-80 had Harrell C index 0.607360265633647 in TCGA-HNSC, with coverage 0.8076923076923077.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R028-UNO-C,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-80; seed=29; partition=calibration; profile=80,uno_c,0.6148424121996778,,,,84.0,35.0,0.8076923076923077,results/metrics/phase4/gate_metrics.csv,28,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-80的Uno C指数为0.6148424121996778，覆盖率为0.8076923076923077。,"B7-80 had Uno C index 0.6148424121996778 in TCGA-HNSC, with coverage 0.8076923076923077.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R028-AUC-HORIZON,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-80; seed=29; partition=calibration; profile=80,auc_horizon,0.6263380731931854,,,,84.0,35.0,0.8076923076923077,results/metrics/phase4/gate_metrics.csv,28,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-80的24个月AUC为0.6263380731931854，覆盖率为0.8076923076923077。,"B7-80 had 24-month AUC 0.6263380731931854 in TCGA-HNSC, with coverage 0.8076923076923077.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R028-CALIBRATION-IN-THE-LARGE,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-80; seed=29; partition=calibration; profile=80,calibration_in_the_large,0.19306935406267395,,,,84.0,35.0,0.8076923076923077,results/metrics/phase4/gate_metrics.csv,28,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-80的整体校准偏差为0.19306935406267395，覆盖率为0.8076923076923077。,"B7-80 had calibration-in-the-large 0.19306935406267395 in TCGA-HNSC, with coverage 0.8076923076923077.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R028-CALIBRATION-SLOPE,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-80; seed=29; partition=calibration; profile=80,calibration_slope,1.0006528497361116,,,,84.0,35.0,0.8076923076923077,results/metrics/phase4/gate_metrics.csv,28,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-80的校准斜率为1.0006528497361116，覆盖率为0.8076923076923077。,"B7-80 had calibration slope 1.0006528497361116 in TCGA-HNSC, with coverage 0.8076923076923077.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R028-OBSERVED-COVERAGE,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-80; seed=29; partition=calibration; profile=80,observed_coverage,0.8076923076923077,,,,84.0,35.0,0.8076923076923077,results/metrics/phase4/gate_metrics.csv,28,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-80的观察覆盖率为0.8076923076923077，覆盖率为0.8076923076923077。,"B7-80 had observed coverage 0.8076923076923077 in TCGA-HNSC, with coverage 0.8076923076923077.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R029-IPCW-BRIER,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-90; seed=29; partition=calibration; profile=90,ipcw_brier,0.23985193111152628,,,,94.0,41.0,0.9038461538461539,results/metrics/phase4/gate_metrics.csv,29,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-90的IPCW Brier评分为0.23985193111152628，覆盖率为0.9038461538461539。,"B7-90 had IPCW Brier score 0.23985193111152628 in TCGA-HNSC, with coverage 0.9038461538461539.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R029-HARRELL-C,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-90; seed=29; partition=calibration; profile=90,harrell_c,0.6106644096487516,,,,94.0,41.0,0.9038461538461539,results/metrics/phase4/gate_metrics.csv,29,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-90的Harrell C指数为0.6106644096487516，覆盖率为0.9038461538461539。,"B7-90 had Harrell C index 0.6106644096487516 in TCGA-HNSC, with coverage 0.9038461538461539.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R029-UNO-C,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-90; seed=29; partition=calibration; profile=90,uno_c,0.6123235460888917,,,,94.0,41.0,0.9038461538461539,results/metrics/phase4/gate_metrics.csv,29,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-90的Uno C指数为0.6123235460888917，覆盖率为0.9038461538461539。,"B7-90 had Uno C index 0.6123235460888917 in TCGA-HNSC, with coverage 0.9038461538461539.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
P4-GATE-R029-AUC-HORIZON,Phase 4,DEVELOPMENT_OR_CALIBRATION,TCGA-HNSC,TCGA-HNSC,transcriptomic development/calibration; no Phase 6 independent test,clinical; RNA-seq transcriptomics,24-month overall survival,730.5,B7-90; seed=29; partition=calibration; profile=90,auc_horizon,0.6243528030312813,,,,94.0,41.0,0.9038461538461539,results/metrics/phase4/gate_metrics.csv,29,,,DEVELOPMENT_ONLY,TCGA-HNSC中B7-90的24个月AUC为0.6243528030312813，覆盖率为0.9038461538461539。,"B7-90 had 24-month AUC 0.6243528030312813 in TCGA-HNSC, with coverage 0.9038461538461539.",仅为开发/校准证据，无患者级bootstrap 95%CI，不支持独立验证。 B7必须同时报告覆盖率，并在相同非弃权患者子集比较。,"Development/calibration evidence only, without patient-level bootstrap 95% CIs; not independent validation. B7 requires coverage and identical non-abstained-subset comparisons.",Results development; detail in Supplement,WP4 candidate Figure 3 / supplementary tables
